0.0, 0.0, 0.0, 0.0, -69.69557584733964, 0.0, -6.972459419812653, 1.7453292519943298e-11, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 
0.01, -0.6969557584733964, 0.0, -0.06972459419812653, -69.69557584733964, 1.2169237383742436e-12, -6.972459419812653, 1.7453292519943298e-11, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.7453292519943298e-13, 0.0, -1.7453292519943298e-13, 1.0, 
0.02, -1.3939115169467928, 1.2169237383742437e-14, -0.13944918839625306, -69.69557584733964, 2.4338474767484873e-12, -6.972459419812653, 1.7453292519943298e-11, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 3.4906585039886597e-13, 0.0, -3.4906585039886597e-13, 1.0, 
0.03, -2.090867275420189, 3.650771215122731e-14, -0.20917378259437958, -69.69557584733964, 3.650771215122731e-12, -6.972459419812653, 1.7453292519943298e-11, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 5.23598775598299e-13, 0.0, -5.23598775598299e-13, 1.0, 
0.04, -2.7878230338935857, 7.301542430245461e-14, -0.2788983767925061, -69.69557584733964, 4.8676949534969746e-12, -6.972459419812653, 1.7453292519943298e-11, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 6.981317007977319e-13, 0.0, -6.981317007977319e-13, 1.0, 
0.05, -3.484778792366982, 1.2169237383742437e-13, -0.34862297099063266, -69.69557584733964, 6.084618691871218e-12, -6.972459419812653, 1.7453292519943298e-11, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 8.726646259971649e-13, 0.0, -8.726646259971649e-13, 1.0, 
0.06, -4.181734550840378, 1.8253856075613656e-13, -0.4183475651887592, -69.69557584733964, 7.301542430245462e-12, -6.972459419812653, 0.015514037812958435, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.047197551196598e-12, 0.0, -1.047197551196598e-12, 1.0, 
0.07, -4.878690309313774, 2.555539850585912e-13, -0.48807215938688575, -69.69557584733964, 0.0010817099851668714, -6.972459335904205, 0.0310280756084636, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.999999987965732, 0.00015514037730978095, 0.0, -0.00015514037730978095, 0.9999999879657316, 
0.08, -5.57564606778717, 1.08171001072227e-05, -0.5577967527459278, -69.69557584733964, 0.0032451297834695573, -6.9724586646366635, 0.04654211340396875, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999998916915904, 0.0004654211072564052, 0.0, -0.0004654211072564052, 0.9999998916915906, 
0.09, -6.2726018262605665, 4.326839794191827e-05, -0.6275213393922944, -69.69557584733964, 0.0064902586992599985, -6.972456399109012, 0.06205615119947389, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9999995667664079, 0.0009308420900690432, 0.0, -0.0009308420900690432, 0.9999995667664078, 
